timestamp,open,high,low,close,volume
2024-01-01,108.83,116.35,107.73,116.32,438018.5
2024-01-02,116.32,120.07,108.17,110.4,832060.6
2024-01-03,110.39,113.21,88.87,102.54,1381187.3
2024-01-04,102.53,105.53,101.08,103.81,518354.7
2024-01-05,103.82,108.61,98.98,102.94,790570.1
2024-01-06,102.94,103.29,96.83,99.38,410797.1
2024-01-07,99.38,100.54,93.55,94.86,452616.7
2024-01-08,94.87,100.34,88.33,99.01,774825.9
2024-01-09,99.02,99.26,91.82,96.43,665545.2
2024-01-10,96.43,110.21,96.0,106.99,1245590.1
2024-01-11,106.99,118.1,106.16,109.58,1362681.8
2024-01-12,109.57,113.91,99.21,102.99,912967.6
2024-01-13,102.98,107.69,100.62,105.97,370135.7
2024-01-14,105.96,106.1,99.05,99.36,327691.8
2024-01-15,99.36,103.31,99.24,101.82,356724.7
2024-01-16,101.82,114.94,101.72,103.51,1096871.4
2024-01-17,103.51,104.12,99.79,101.28,463712.7
2024-01-18,101.29,101.67,95.21,96.84,417440.9
2024-01-19,96.84,97.85,91.32,97.0,482591.3
2024-01-20,96.99,98.56,95.94,97.36,258091.0
2024-01-21,97.36,98.58,96.29,96.42,223354.2
2024-01-22,96.42,97.21,90.21,91.72,457987.2
2024-01-23,91.74,93.54,84.22,89.57,582583.8
2024-01-24,89.59,90.71,88.27,89.95,282821.1
2024-01-25,89.95,89.96,86.83,88.79,237447.5
2024-01-26,88.79,91.65,87.44,91.27,259740.3
2024-01-27,91.27,92.15,90.23,91.53,176515.8
2024-01-28,91.53,93.45,89.96,91.14,258732.3
2024-01-29,91.14,93.85,90.2,93.58,252474.5
2024-01-30,93.58,95.35,92.14,92.98,331225.9
2024-01-31,92.97,93.34,85.03,85.82,1136438.6
2024-02-01,85.82,86.07,82.74,83.84,815530.0
2024-02-02,83.84,86.5,82.25,85.84,1246213.1
2024-02-03,85.83,86.82,84.81,85.62,391054.1
2024-02-04,85.61,85.76,82.54,83.2,366558.3
2024-02-05,83.21,85.93,81.36,84.16,494407.9
2024-02-06,84.16,85.37,82.46,84.46,375007.2
2024-02-07,84.46,84.99,82.22,84.18,458779.5
2024-02-08,84.19,86.71,84.01,85.16,594235.9
2024-02-09,85.16,89.88,85.12,87.61,739821.7
2024-02-10,87.61,89.26,86.03,88.38,399495.6
2024-02-11,88.38,89.88,86.61,87.24,402603.9
2024-02-12,87.24,91.07,85.02,90.86,634503.9
2024-02-13,90.87,91.44,87.8,89.63,641425.8
2024-02-14,89.64,92.83,89.05,91.12,599250.7
2024-02-15,91.12,93.71,90.05,92.37,746843.6
2024-02-16,92.37,95.08,90.2,94.63,784396.0
2024-02-17,94.63,94.91,91.1,93.99,635665.1
2024-02-18,94.0,95.6,92.68,94.73,572654.4
2024-02-19,94.73,98.13,94.3,96.3,657690.3
2024-02-20,96.29,97.22,90.0,93.93,1029340.4
2024-02-21,93.94,94.31,88.02,91.79,695053.6
2024-02-22,91.8,94.0,90.13,92.01,500384.2
2024-02-23,92.01,102.0,89.51,94.71,1760697.1
2024-02-24,94.7,104.14,93.77,101.22,1675602.8
2024-02-25,101.2,101.83,97.49,100.47,626457.3
2024-02-26,100.47,104.08,97.94,102.92,854976.3
2024-02-27,102.91,106.11,101.06,104.9,755047.6
2024-02-28,104.89,108.94,96.0,104.53,1221170.2
2024-02-29,104.53,115.05,103.11,105.88,1140895.9
2024-03-01,105.88,110.72,105.86,110.64,546984.0
2024-03-02,110.65,118.78,109.86,116.27,757880.9
2024-03-03,116.29,119.29,104.0,112.72,783000.2
2024-03-04,112.71,115.6,105.06,114.35,989813.1
2024-03-05,114.36,119.98,88.47,105.75,1710611.9
2024-03-06,105.76,128.25,102.07,127.71,1764353.0
2024-03-07,127.72,134.26,120.71,134.11,1135248.5
2024-03-08,134.1,138.29,126.7,132.75,1078095.2
2024-03-09,132.76,135.34,128.73,131.48,527029.4
2024-03-10,131.48,133.8,122.6,126.97,612387.5
2024-03-11,126.99,138.83,120.0,136.97,1026855.6
2024-03-12,136.98,138.95,123.08,135.49,995841.7
2024-03-13,135.51,154.05,134.02,142.81,1311998.8
2024-03-14,142.84,146.1,132.02,139.55,903375.6
2024-03-15,139.57,141.78,122.0,129.25,1126566.5
2024-03-16,129.28,130.5,116.13,118.83,729750.7
2024-03-17,118.83,129.67,113.34,127.0,742138.1
2024-03-18,126.99,129.58,118.92,123.55,687106.1
2024-03-19,123.52,124.8,107.18,109.41,1074451.8
2024-03-20,109.39,120.99,105.0,120.25,966158.0
2024-03-21,120.23,124.97,116.27,123.45,662340.4
2024-03-22,123.45,125.24,114.59,119.05,613190.9
2024-03-23,119.05,124.78,118.11,121.48,417520.3
2024-03-24,121.47,125.76,120.07,124.95,371652.3
2024-03-25,124.99,130.42,123.89,127.13,408319.5
2024-03-26,127.13,132.12,125.53,130.96,444795.2
2024-03-27,130.94,132.35,123.91,125.09,507420.6
2024-03-28,125.1,128.55,122.61,127.99,312115.5
2024-03-29,128.0,130.63,124.56,127.63,404650.9
2024-03-30,127.64,129.24,123.3,124.04,262394.0
2024-03-31,124.04,128.58,123.55,128.49,262893.7
2024-04-01,128.47,131.85,121.12,129.5,1008568.7
2024-04-02,129.5,129.99,112.87,115.54,953084.9
2024-04-03,115.55,119.1,111.48,114.59,581456.1
2024-04-04,114.59,119.74,112.14,116.44,376110.6
2024-04-05,116.46,116.77,109.45,113.76,423524.6
2024-04-06,113.76,121.57,113.13,118.65,937426.6
2024-04-07,118.65,123.13,118.35,122.91,340242.2
2024-04-08,122.91,129.97,121.36,129.23,446088.7
2024-04-09,129.22,134.08,125.29,126.59,880180.9
2024-04-10,126.57,129.6,122.14,128.55,1062044.4
2024-04-11,128.58,132.94,115.52,117.69,917891.5
2024-04-12,117.69,120.15,86.53,99.81,1269814.0
2024-04-13,99.8,99.97,67.07,82.45,2252292.5
2024-04-14,82.44,89.17,79.67,87.86,1278678.5
2024-04-15,87.86,91.55,80.84,84.82,1079284.5
2024-04-16,84.83,89.35,80.78,86.65,735240.9
2024-04-17,86.65,87.49,80.99,83.61,620829.7
2024-04-18,83.61,86.67,81.89,85.39,499199.2
2024-04-19,85.39,88.87,78.57,85.72,705050.5
2024-04-20,85.71,92.32,84.68,91.75,475848.0
2024-04-21,91.76,93.2,89.01,91.03,397846.3
2024-04-22,91.02,97.39,90.38,96.31,428687.9
2024-04-23,96.31,97.4,93.55,94.57,313188.6
2024-04-24,94.56,97.1,89.7,90.69,442256.2
2024-04-25,90.69,91.9,87.9,91.46,377177.3
2024-04-26,91.45,91.6,88.06,89.52,283248.6
2024-04-27,89.52,93.05,86.0,91.7,347228.9
2024-04-28,91.71,93.23,89.8,90.2,217934.0
2024-04-29,90.21,91.81,86.64,89.33,324370.3
2024-04-30,89.34,90.35,80.66,83.3,517433.7
2024-05-01,83.29,84.44,78.45,83.59,615961.4
2024-05-02,83.62,85.96,80.93,84.84,356244.3
2024-05-03,84.84,89.2,83.52,88.72,296530.3
2024-05-04,88.71,89.92,87.62,88.94,196338.4
2024-05-05,88.95,90.34,87.26,89.94,223173.4
2024-05-06,89.95,92.82,87.7,87.83,312488.5
2024-05-07,87.84,91.41,86.02,87.86,358282.4
2024-05-08,87.86,89.17,85.45,86.1,418087.4
2024-05-09,86.09,90.61,84.93,89.87,347778.3
2024-05-10,89.87,90.7,83.63,83.73,343258.8
2024-05-11,83.72,84.56,82.01,82.21,273041.9
2024-05-12,82.22,84.31,82.14,82.95,178384.3
2024-05-13,82.96,85.93,80.09,82.76,417318.4
2024-05-14,82.76,82.89,80.0,80.38,267418.5
2024-05-15,80.39,86.75,79.86,86.02,314735.5
2024-05-16,86.02,86.82,83.87,85.88,238179.7
2024-05-17,85.88,89.35,84.83,88.17,233010.4
2024-05-18,88.18,90.02,87.6,88.17,270101.8
2024-05-19,88.17,88.73,84.39,85.26,241618.4
