Trade_ID,Side,Entry_Time,Entry_Price,SL,TP,status,PnL_Pct,Capital_Acumulado,PnL_USD
MTF_0700,LONG,2025-04-08 07:00:00,130.91,128.2918,135.49185,CLOSED,-0.020000000000000014,980.0,-20.000000000000014
MTF_1315,LONG,2025-04-30 13:15:00,159.26,156.07479999999998,164.83409999999998,CLOSED,-0.020000000000000056,960.4,-19.600000000000055
MTF_1400,LONG,2025-04-30 14:00:00,157.41,154.2618,162.91934999999998,CLOSED,0.0349999999999999,994.0139999999999,33.613999999999905
MTF_1430,LONG,2025-05-29 14:30:00,255.6,250.488,264.546,CLOSED,-0.01999999999999998,974.1337199999999,-19.880279999999978
MTF_0100,LONG,2025-05-30 01:00:00,246.36,241.43280000000001,254.9826,CLOSED,0.034999999999999906,1008.2284001999998,34.09468019999991
MTF_0300,LONG,2025-06-13 03:00:00,268.2,262.83599999999996,277.587,CLOSED,0.035,1043.5163942069998,35.287994006999995
MTF_0515,LONG,2025-06-14 05:15:00,286.16,280.4368,296.17560000000003,CLOSED,-0.020000000000000066,1022.6460663228597,-20.870327884140067
MTF_0730,LONG,2025-06-14 07:30:00,279.88,274.2824,289.6758,CLOSED,-0.02,1002.1931449964026,-20.452921326457194
MTF_1330,LONG,2025-06-18 13:30:00,257.18,252.03640000000001,266.18129999999996,CLOSED,-0.01999999999999997,982.1492820964745,-20.04386289992802
MTF_1500,LONG,2025-06-19 15:00:00,251.76,246.7248,260.5716,CLOSED,0.034999999999999996,1016.5245069698511,34.3752248733766
MTF_0845,LONG,2025-06-22 08:45:00,230.64,226.0272,238.71239999999997,CLOSED,-0.01999999999999997,996.1940168304542,-20.330490139396993
MTF_1000,LONG,2025-06-22 10:00:00,228.95,224.37099999999998,236.96324999999996,CLOSED,-0.020000000000000035,976.270136493845,-19.92388033660912
MTF_1045,LONG,2025-06-23 10:45:00,229.93,225.3314,237.97754999999998,CLOSED,-0.02000000000000002,956.7447337639682,-19.525402729876923
MTF_0645,LONG,2025-07-23 06:45:00,303.5,297.43,314.1225,CLOSED,-0.019999999999999976,937.6098390886888,-19.13489467527934
MTF_0530,LONG,2025-07-24 05:30:00,286.88,281.1424,296.9208,CLOSED,-0.019999999999999952,918.8576423069151,-18.75219678177373
MTF_0600,LONG,2025-07-24 06:00:00,284.58,278.8884,294.54029999999995,CLOSED,-0.01999999999999998,900.4804894607768,-18.377152846138284
MTF_0700,LONG,2025-07-24 07:00:00,282.08,276.4384,291.95279999999997,CLOSED,0.03499999999999995,931.9973065919039,31.51681713112714
MTF_0030,LONG,2025-07-25 00:30:00,285.52,279.8096,295.5132,CLOSED,0.03500000000000001,964.6172123226205,32.619905730716646
MTF_1015,LONG,2025-07-30 10:15:00,279.72,274.1256,289.5102,CLOSED,-0.020000000000000025,945.3248680761681,-19.292344246452434
MTF_1215,LONG,2025-07-30 12:15:00,275.4,269.892,285.03899999999993,CLOSED,-0.019999999999999934,926.4183707146448,-18.9064973615233
MTF_1915,LONG,2025-07-30 19:15:00,269.29,263.9042,278.71515,CLOSED,0.0349999999999999,958.8430136896573,32.424642975012475
